SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,NBA_FANTASY_PTS,DD2,TD3,TEAM_COUNT,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS
2025-26,1627936,Alex Caruso,1610612760,OKC,32.0,56,18.22047619047619,2.267857142857143,5.357142857142857,0.9464285714285714,3.232142857142857,0.7321428571428571,0.9107142857142857,0.5,2.267857142857143,2.767857142857143,1.9642857142857142,0.8571428571428571,1.2857142857142858,0.30357142857142855,0.21428571428571427,1.2142857142857142,0.9642857142857143,6.214285714285714,16.392857142857142,0.0,0.0,1,0.145,2.29,22.8,0.028,0.113,0.073,10.0,0.512,0.54,0.152,102.74,0.093,38.982142857142854
2025-26,1631457,Alex Morales,1610612753,ORL,28.0,4,5.895833333333333,0.75,1.75,0.0,0.25,0.5,0.5,0.25,0.5,0.75,1.0,1.0,0.0,0.0,0.25,1.75,0.25,2.0,3.4,0.0,0.0,1,0.19,1.0,25.0,0.043,0.111,0.073,25.0,0.429,0.508,0.203,99.73,-0.006,12.25
2025-26,1642259,Alex Sarr,1610612764,WAS,21.0,48,27.180451388888887,6.583333333333333,13.666666666666666,1.0416666666666667,3.125,2.1041666666666665,3.0416666666666665,2.1875,5.208333333333333,7.395833333333333,2.7083333333333335,1.7083333333333333,0.8125,1.9791666666666667,1.25,2.1875,2.6041666666666665,16.3125,35.916666666666664,0.25,0.0,1,0.161,1.59,14.0,0.073,0.179,0.126,8.8,0.52,0.544,0.252,103.35,0.121,58.5
2025-26,1642918,Alijah Martin,1610612761,TOR,24.0,23,6.331086956521739,0.6956521739130435,2.1739130434782608,0.17391304347826086,0.9130434782608695,0.6521739130434783,0.8260869565217391,0.391304347826087,0.5217391304347826,0.9130434782608695,0.5217391304347826,0.34782608695652173,0.34782608695652173,0.17391304347826086,0.13043478260869565,0.5217391304347826,0.5217391304347826,2.217391304347826,5.3130434782608695,0.0,0.0,1,0.129,1.5,15.2,0.053,0.086,0.068,10.1,0.36,0.437,0.185,98.07,0.062,13.0
2025-26,1631214,Alondes Williams,1610612764,WAS,27.0,4,25.195833333333333,4.0,6.5,1.25,3.5,1.75,2.0,1.25,5.0,6.25,3.0,1.25,0.75,0.75,0.0,1.0,1.5,11.0,26.25,0.25,0.0,1,0.14,2.4,26.1,0.054,0.192,0.128,10.9,0.712,0.745,0.141,103.59,0.133,54.5
2025-26,1630578,Alperen Sengun,1610612745,HOU,23.0,72,33.301319444444445,8.097222222222221,15.597222222222221,0.5555555555555556,1.8194444444444444,3.611111111111111,5.222222222222222,2.986111111111111,5.902777777777778,8.88888888888889,6.180555555555555,3.1527777777777777,1.1805555555555556,1.0694444444444444,0.8888888888888888,3.3055555555555554,5.083333333333333,20.36111111111111,43.895833333333336,0.4722222222222222,0.05555555555555555,1,0.282,1.96,22.8,0.089,0.177,0.133,11.6,0.537,0.569,0.259,98.02,0.142,68.25
2025-26,1642873,Amari Williams,1610612738,BOS,24.0,22,6.623787878787879,0.45454545454545453,0.9090909090909091,0.0,0.0,0.45454545454545453,0.6363636363636364,0.4090909090909091,1.4090909090909092,1.8181818181818181,0.45454545454545453,0.5,0.13636363636363635,0.45454545454545453,0.09090909090909091,0.8636363636363636,0.6363636363636364,1.3636363636363635,5.5,0.0,0.0,1,0.116,0.91,21.3,0.054,0.187,0.12,23.4,0.5,0.573,0.103,102.44,0.079,14.045454545454545
2025-26,1641708,Amen Thompson,1610612745,HOU,23.0,79,37.381645569620254,7.050632911392405,13.215189873417721,0.31645569620253167,1.4683544303797469,3.848101265822785,4.936708860759493,2.9746835443037973,4.7974683544303796,7.772151898734177,5.3164556962025316,2.4050632911392404,1.5063291139240507,0.6075949367088608,0.8607594936708861,2.2151898734177213,3.721518987341772,18.265822784810126,39.503797468354435,0.25316455696202533,0.0,1,0.202,2.21,23.1,0.078,0.123,0.101,10.4,0.545,0.594,0.195,98.4,0.128,76.45569620253164
2025-26,1629599,Amir Coffey,1610612756,PHX,29.0,46,10.663079710144928,1.1956521739130435,2.4565217391304346,0.3695652173913043,1.065217391304348,0.4782608695652174,0.6086956521739131,0.41304347826086957,0.8260869565217391,1.2391304347826086,0.5869565217391305,0.1956521739130435,0.1956521739130435,0.10869565217391304,0.043478260869565216,0.6521739130434783,0.45652173913043476,3.239130434782609,6.32391304347826,0.0,0.0,2,0.076,3.0,16.9,0.039,0.073,0.057,5.6,0.562,0.594,0.117,98.4,0.068,21.76086956521739
2025-26,1643158,Andersson Garcia,1610612762,UTA,25.0,5,33.75,1.8,5.8,0.2,2.6,1.4,1.8,3.4,5.0,8.4,2.8,1.4,1.6,0.8,0.6,3.2,2.6,5.2,25.28,0.0,0.0,1,0.107,2.0,25.9,0.089,0.15,0.117,13.0,0.328,0.394,0.094,103.68,0.052,72.8
